created_at,retweet_count,sentiment,followers_count,verified
1523051097,0,0.5,2237,0
1523051059,91,0.5,1131,0
1523051041,2636,0.5,273,0
1523051067,1,0.5,57395,0
1523051061,806,0.5,0,0
1523051096,134,0.5,132,0
1523051074,3,0.5,1701,0
1523051061,0,0.5,148,0
1523051061,0,0.5,148,0
1523051095,3,0.5,5319,0
1523051095,3,0.5,5319,0
1523051059,0,0.5,111,0
1523051095,488,0.5,0,0
1523051094,346,0.5,4216,0
1523051061,0,0.5,148,0
1523051080,779,0.5,7630,0
1523051097,0,0.5,2237,0
1523051050,3,0.5,221,0
1523051087,1,0.5,1561,0
1523051048,1,0.5,222,0
1523051087,263,0.5,10,0
1523051074,485,0.5,1,0
1523051095,3,0.5,5319,0
1523051095,489,0.5,0,0
1523051058,0,0.5,697,0
1523051070,0,0.5,2506,0
1523051065,9,0.5,270,0
1523051096,134,0.5,132,0
1523051074,8,0.5,435,0
1523051077,256,0.5,14980,0
1523051082,4875,0.5,4199,0
1523051059,91,0.5,1131,0
1523051074,3,0.5,1701,0
1523051071,0,0.5,218,0
1523051061,0,0.5,148,0
1523051074,483,0.5,1,0
1523051072,4,0.5,425,0
1523051095,3,0.5,5319,0
1523051074,1,0.5,71,0
1523051074,8,0.5,435,0
1523051047,9,0.5,867,0
1523051074,486,0.5,1,0
1523051067,1,0.5,57395,0
1523051098,486,0.5,0,0
1523051080,779,0.5,7630,0
1523051062,0,0.5,1021,0
1523051045,0,0.5,433,0
1523051094,346,0.5,4216,0
1523051070,0,0.5,2506,0
1523051058,774,0.5,4366,0
1523051048,1,0.5,475660,1
1523051061,806,0.5,0,0
1523051042,0,0.5,2015,0
1523051095,489,0.5,0,0
1523051048,1,0.5,475660,1
1523051074,485,0.5,1,0
1523051066,559,0.5,4366,0
1523051045,0,0.5,472,0
1523051066,0,0.5,188,0
1523051097,0,0.5,3246,0
1523051074,1990,0.5,123,0
1523051061,806,0.5,0,0
1523051044,5,0.5,960,0
1523051072,4,0.5,425,0
1523051074,3425,0.5,321,0
1523051059,0,0.5,111,0
1523051097,1508,0.5,0,0
1523051094,346,0.5,4216,0
1523051048,1,0.5,222,0
1523051071,0,0.5,218,0
1523051058,774,0.5,4366,0
1523051069,861,0.5,3119,0
1523051078,0,0.5,31482,0
1523051095,3,0.5,5319,0
1523051065,9,0.5,270,0
1523051059,256,0.5,685,0
1523051072,4,0.5,37,0
1523051074,3425,0.5,322,0
1523051072,4,0.5,37,0
1523051058,20,0.5,198,0
1523051059,91,0.5,1131,0
1523051087,1,0.5,1561,0
1523051041,2636,0.5,273,0
1523051044,0,0.5,2494,0
1523051074,3,0.5,1701,0
1523051080,779,0.5,7630,0
1523051048,1,0.5,222,0
1523051059,256,0.5,685,0
1523051058,0,0.5,697,0
1523051095,486,0.5,0,0
1523051040,4874,0.5,14,0
1523051070,0,0.5,2506,0
1523051043,4,0.5,221,0
1523051066,0,0.5,11359,0
1523051057,12,0.5,466,0
1523051097,0,0.5,2237,0
1523051096,134,0.5,132,0
1523051083,0,0.5,1028,0
1523051066,0,0.5,9661,0
1523051087,263,0.5,10,0
1523051096,134,0.5,132,0
1523051066,0,0.5,11359,0
1523051069,861,0.5,3119,0
1523051043,485,0.5,1,0
1523051083,0,0.5,1028,0
1523051074,1990,0.5,123,0
1523051069,861,0.5,3119,0
1523051094,346,0.5,4216,0
1523051045,0,0.5,472,0
1523051095,3,0.5,5319,0
1523051041,35,0.5,7630,0
1523051097,0,0.5,2237,0
1523051067,0,0.5,4229,0
1523051042,0,0.5,456,0
1523051043,485,0.5,1,0
1523051045,0,0.5,472,0
1523051071,0,0.5,218,0
1523051072,4,0.5,37,0
1523051074,489,0.5,1,0
1523051098,486,0.5,0,0
1523051050,3,0.5,221,0
1523051048,1,0.5,475660,1
1523051070,0,0.5,2506,0
1523051067,0,0.5,4229,0
1523051097,0,0.5,3246,0
1523051074,1990,0.5,123,0
1523051094,346,0.5,4216,0
1523051066,0,0.5,11359,0
1523051042,0,0.5,2015,0
1523051050,3,0.5,221,0
1523051074,486,0.5,1,0
1523051063,1246,0.5,590,0
1523051082,4874,0.5,4199,0
1523051053,0,0.5,905,0
1523051087,263,0.5,10,0
1523051058,774,0.5,4366,0
1523051066,559,0.5,4368,0
1523051066,0,0.5,188,0
1523051066,0,0.5,9661,0
1523051066,0,0.5,9661,0
1523051071,0,0.5,218,0
1523051078,0,0.5,31482,0
1523051044,0,0.5,2494,0
1523051080,779,0.5,7630,0
1523051047,9,0.5,867,0
1523051083,0,0.5,1028,0
1523051094,346,0.5,4216,0
1523051066,0,0.5,188,0
1523051063,1246,0.5,590,0
1523051096,134,0.5,132,0
1523051085,3,0.5,78,0
1523051095,3,0.5,5319,0
1523051074,486,0.5,1,0
1523051082,4874,0.5,4199,0
1523051097,0,0.5,3246,0
1523051098,489,0.5,0,0
1523051094,346,0.5,4216,0
1523051097,0,0.5,3246,0
1523051097,0,0.5,2237,0
1523051096,134,0.5,132,0
1523051095,3,0.5,5319,0
1523051095,489,0.5,0,0
1523051094,346,0.5,4216,0
1523051070,0,0.5,2506,0
1523051087,1,0.5,1561,0
1523051041,35,0.5,7630,0
1523051087,263,0.5,10,0
1523051085,3,0.5,78,0
1523051084,214,0.5,166,0
1523051083,0,0.5,1028,0
1523051082,4875,0.5,4199,0
1523051062,0,0.5,1021,0
1523051082,0,0.5,0,0
1523051041,36,0.5,7630,0
1523051080,779,0.5,7630,0
1523051078,0,0.5,31482,0
1523051077,256,0.5,14980,0
1523051077,230,0.5,2636,0
1523051074,3,0.5,0,0
1523051058,20,0.5,198,0
1523051098,486,0.5,0,0
1523051066,0,0.5,11359,0
1523051074,1990,0.5,123,0
1523051043,4,0.5,221,0
1523051094,346,0.5,4216,0
1523051066,559,0.5,4366,0
1523051087,263,0.5,10,0
1523051084,214,0.5,166,0
1523051045,0,0.5,472,0
1523051042,0,0.5,456,0
1523051087,263,0.5,10,0
1523051066,0,0.5,9661,0
1523051082,0,0.5,0,0
1523051082,4875,0.5,4199,0
1523051048,1,0.5,222,0
1523051059,0,0.5,111,0
1523051058,774,0.5,4366,0
1523051074,3425,0.5,322,0
1523051085,3,0.5,78,0
1523051071,0,0.5,218,0
1523051053,0,0.5,905,0
1523051057,12,0.5,466,0
1523051058,20,0.5,198,0
1523051048,1,0.5,222,0
1523051082,0,0.5,0,0
1523051053,0,0.5,905,0
1523051067,1,0.5,57395,0
1523051078,0,0.5,31482,0
1523051053,0,0.5,905,0
1523051043,4,0.5,221,0
1523051069,861,0.5,3119,0
1523051050,1690,0.5,653,0
1523051050,3,0.5,221,0
1523051077,256,0.5,14980,0
1523051058,0,0.5,697,0
1523051066,0,0.5,188,0
1523051097,0,0.5,2237,0
1523051059,91,0.5,1131,0
1523051058,0,0.5,697,0
1523051095,486,0.5,0,0
1523051047,34,0.5,4940,0
1523051047,34,0.5,4940,0
1523051058,20,0.5,198,0
1523051097,0,0.5,3246,0
1523051098,486,0.5,0,0
1523051074,3,0.5,0,0
1523051045,0,0.5,472,0
1523051083,0,0.5,1028,0
1523051067,0,0.5,4229,0
1523051066,0,0.5,188,0
1523051063,1246,0.5,590,0
1523051043,4,0.5,221,0
1523051044,0,0.5,2494,0
1523051082,0,0.5,0,0
1523051044,0,0.5,2494,0
1523051096,134,0.5,132,0
1523051059,256,0.5,685,0
1523051087,263,0.5,10,0
1523051061,806,0.5,0,0
1523051044,5,0.5,960,0
1523051065,9,0.5,270,0
1523051085,3,0.5,78,0
1523051043,4,0.5,221,0
1523051041,2637,0.5,273,0
1523051095,3,0.5,5319,0
1523051043,486,0.5,1,0
1523051059,0,0.5,111,0
1523051042,0,0.5,456,0
1523051042,0,0.5,2015,0
1523051042,0,0.5,2015,0
1523051084,214,0.5,166,0
1523051041,39,0.5,7630,0
1523051083,0,0.5,1028,0
1523051041,2637,0.5,273,0
1523051040,4875,0.5,14,0
1523051067,1,0.5,57395,0
1523051059,91,0.5,1131,0
1523051041,2636,0.5,273,0
1523051095,3,0.5,5319,0
1523051074,3,0.5,0,0
1523051074,3,0.5,1701,0
1523051074,1,0.5,71,0
1523051091,111,0.5,1,0
1523051074,1990,0.5,123,0
1523051074,486,0.5,1,0
1523051074,3425,0.5,322,0
1523051061,0,0.5,148,0
1523051074,8,0.5,435,0
1523051072,4,0.5,425,0
1523051072,4,0.5,37,0
1523051094,346,0.5,4216,0
1523051071,0,0.5,218,0
1523051070,0,0.5,2506,0
1523051045,0,0.5,472,0
1523051070,0,0.5,2506,0
1523051069,861,0.5,3119,0
1523051067,0,0.5,4229,0
1523051067,1,0.5,57395,0
1523051066,559,0.5,4366,0
1523051063,1246,0.5,590,0
1523051066,0,0.5,188,0
1523051066,0,0.5,11359,0
1523051044,4,0.5,23,0
1523051066,0,0.5,9661,0
1523051065,9,0.5,270,0
1523051070,0,0.5,2506,0
1523051065,44,0.5,635,0
1523051096,134,0.5,132,0
1523051063,1246,0.5,590,0
1523051062,0,0.5,1021,0
1523051058,774,0.5,4366,0
1523051061,0,0.5,148,0
1523051080,779,0.5,7630,0
1523051061,806,0.5,0,0
1523051059,0,0.5,111,0
1523051059,91,0.5,1131,0
1523051084,214,0.5,166,0
1523051059,256,0.5,685,0
1523051058,0,0.5,697,0
1523051067,1,0.5,57395,0
1523051058,774,0.5,4366,0
1523051095,486,0.5,0,0
1523051058,20,0.5,198,0
1523051057,12,0.5,466,0
1523051053,0,0.5,905,0
1523051040,4874,0.5,14,0
1523051050,1690,0.5,653,0
1523051070,0,0.5,2506,0
1523051050,3,0.5,221,0
1523051041,2636,0.5,273,0
1523051048,1,0.5,222,0
1523051047,34,0.5,4940,0
1523051047,9,0.5,867,0
1523051077,230,0.5,2636,0
1523051045,0,0.5,472,0
1523051045,0,0.5,433,0
1523051045,0,0.5,433,0
1523051066,0,0.5,11359,0
1523051044,5,0.5,960,0
1523051044,4,0.5,23,0
1523051044,0,0.5,2494,0
1523051043,4,0.5,221,0
1523051043,486,0.5,1,0
1523051042,0,0.5,456,0
1523051096,134,0.5,132,0
1523051066,559,0.5,4366,0
1523051074,3,0.5,0,0
1523051067,1,0.5,57395,0
1523051084,214,0.5,166,0
1523051044,5,0.5,960,0
1523051095,3,0.5,5319,0
1523051074,1,0.5,71,0
1523051087,1,0.5,1561,0
1523051083,0,0.5,1028,0
1523051077,256,0.5,14980,0
1523051044,5,0.5,960,0
1523051071,0,0.5,218,0
1523051074,3,0.5,0,0
1523051058,20,0.5,198,0
1523051059,91,0.5,1131,0
1523051096,134,0.5,132,0
1523051067,0,0.5,4229,0
1523051065,44,0.5,635,0
1523051066,559,0.5,4366,0
1523051047,34,0.5,4940,0
1523051065,44,0.5,635,0
1523051059,91,0.5,1131,0
1523051077,230,0.5,2636,0
1523051074,1,0.5,71,0
1523051066,0,0.5,11359,0
1523051047,9,0.5,867,0
1523051095,3,0.5,5319,0
1523051059,256,0.5,685,0
1523051095,489,0.5,0,0
1523051097,1508,0.5,0,0
1523051053,0,0.5,905,0
1523051063,1246,0.5,590,0
1523051070,0,0.5,2506,0
1523051083,0,0.5,1028,0
1523051059,0,0.5,111,0
1523051058,0,0.5,697,0
1523051070,0,0.5,2506,0
1523051087,1,0.5,1561,0
1523051058,774,0.5,4366,0
1523051058,20,0.5,198,0
1523051057,12,0.5,466,0
1523051050,3,0.5,221,0
1523051087,263,0.5,10,0
1523051070,0,0.5,2506,0
1523051058,774,0.5,4366,0
1523051044,0,0.5,2494,0
1523051085,3,0.5,78,0
1523051058,0,0.5,697,0
1523051097,1508,0.5,0,0
1523051091,111,0.5,1,0
1523051074,485,0.5,1,0
1523051085,3,0.5,78,0
1523051074,3425,0.5,322,0
1523051095,3,0.5,5319,0
1523051074,8,0.5,435,0
1523051050,3,0.5,221,0
1523051066,0,0.5,188,0
1523051067,0,0.5,4229,0
1523051098,486,0.5,0,0
1523051087,263,0.5,10,0
1523051048,1,0.5,222,0
1523051070,0,0.5,2506,0
1523051043,4,0.5,221,0
1523051066,0,0.5,188,0
1523051066,559,0.5,4366,0
1523051072,4,0.5,425,0
1523051097,0,0.5,3246,0
1523051074,487,0.5,1,0
1523051074,3425,0.5,322,0
1523051074,8,0.5,435,0
1523051072,4,0.5,425,0
1523051072,4,0.5,425,0
1523051072,4,0.5,37,0
1523051067,1,0.5,57395,0
1523051071,0,0.5,218,0
1523051082,4875,0.5,4199,0
1523051070,0,0.5,2506,0
1523051058,20,0.5,198,0
1523051044,5,0.5,960,0
1523051067,0,0.5,4229,0
1523051059,91,0.5,1131,0
1523051067,2,0.5,57395,0
1523051070,0,0.5,2506,0
1523051097,1508,0.5,0,0
1523051066,559,0.5,4366,0
1523051057,12,0.5,466,0
1523051042,0,0.5,2015,0
1523051066,0,0.5,9661,0
1523051044,0,0.5,2494,0
1523051087,1,0.5,1561,0
1523051043,486,0.5,1,0
1523051058,20,0.5,198,0
1523051063,1246,0.5,590,0
1523051041,39,0.5,7630,0
1523051061,0,0.5,148,0
1523051040,4874,0.5,14,0
1523051077,256,0.5,14980,0
1523051059,0,0.5,111,0
1523051059,91,0.5,1131,0
1523051085,3,0.5,78,0
1523051059,256,0.5,685,0
1523051043,483,0.5,1,0
1523051058,0,0.5,697,0
1523051066,0,0.5,11359,0
1523051058,774,0.5,4366,0
1523051078,0,0.5,31482,0
1523051057,12,0.5,466,0
1523051050,3,0.5,221,0
1523051045,0,0.5,472,0
1523051084,214,0.5,166,0
1523051087,263,0.5,10,0
1523051095,3,0.5,5319,0
1523051074,3,0.5,1701,0
1523051087,1,0.5,1561,0
1523051072,4,0.5,425,0
1523051048,1,0.5,222,0
1523051095,486,0.5,0,0
1523051047,34,0.5,4940,0
1523051097,1508,0.5,0,0
1523051045,0,0.5,472,0
1523051085,3,0.5,78,0
1523051084,214,0.5,166,0
1523051057,12,0.5,466,0
1523051044,4,0.5,23,0
1523051043,4,0.5,221,0
1523051043,486,0.5,1,0
1523051042,0,0.5,456,0
1523051042,0,0.5,2015,0
1523051074,1990,0.5,123,0
1523051041,38,0.5,7630,0
1523051042,0,0.5,456,0
1523051067,0,0.5,4229,0
1523051094,346,0.5,4216,0
1523051074,1,0.5,71,0
1523051087,263,0.5,10,0
1523051059,256,0.5,685,0
1523051074,484,0.5,1,0
1523051065,9,0.5,270,0
1523051045,0,0.5,472,0
1523051078,0,0.5,31482,0
1523051085,3,0.5,78,0
1523051045,0,0.5,472,0
1523051087,263,0.5,10,0
1523051084,214,0.5,166,0
1523051066,0,0.5,9661,0
1523051082,0,0.5,0,0
1523051072,4,0.5,37,0
1523051042,0,0.5,2015,0
1523051050,1690,0.5,653,0
1523051042,0,0.5,456,0
1523051078,0,0.5,31482,0
1523051080,779,0.5,7630,0
1523051078,0,0.5,31482,0
1523051048,1,0.5,475660,1
1523051098,489,0.5,0,0
1523051077,256,0.5,14980,0
1523051078,0,0.5,31482,0
1523051097,0,0.5,3246,0
1523051074,3,0.5,0,0
1523051065,9,0.5,270,0
1523051097,1508,0.5,0,0
1523051080,779,0.5,7630,0
1523051065,9,0.5,270,0
1523051077,229,0.5,2636,0
1523051041,35,0.5,7630,0
1523051058,20,0.5,198,0
1523051042,0,0.5,2015,0
1523051094,346,0.5,4216,0
1523051074,3425,0.5,322,0
1523051080,779,0.5,7630,0
1523051067,0,0.5,4229,0
1523051077,229,0.5,2636,0
1523051097,0,0.5,3246,0
1523051074,1990,0.5,123,0
1523051096,134,0.5,132,0
1523051065,44,0.5,635,0
1523051087,1,0.5,1561,0
1523051041,2636,0.5,273,0
1523051065,44,0.5,635,0
1523051059,0,0.5,111,0
1523051095,486,0.5,0,0
1523051095,489,0.5,0,0
1523051087,1,0.5,1561,0
1523051066,0,0.5,188,0
1523051063,1246,0.5,590,0
1523051074,3425,0.5,322,0
1523051066,0,0.5,11359,0
1523051070,0,0.5,2506,0
1523051066,0,0.5,9661,0
1523051065,9,0.5,270,0
1523051074,8,0.5,435,0
1523051065,44,0.5,635,0
1523051097,1508,0.5,0,0
1523051095,3,0.5,5319,0
1523051077,229,0.5,2636,0
1523051063,1246,0.5,590,0
1523051040,4874,0.5,14,0
1523051062,0,0.5,1021,0
1523051044,5,0.5,960,0
1523051061,0,0.5,148,0
1523051044,0,0.5,2494,0
1523051061,806,0.5,0,0
1523051082,0,0.5,0,0
1523051059,0,0.5,111,0
1523051044,0,0.5,2494,0
1523051095,486,0.5,0,0
1523051059,91,0.5,1131,0
1523051059,0,0.5,111,0
1523051077,229,0.5,2636,0
1523051061,0,0.5,148,0
1523051059,256,0.5,685,0
1523051085,3,0.5,78,0
1523051058,20,0.5,198,0
1523051058,0,0.5,697,0
1523051058,774,0.5,4366,0
1523051097,0,0.5,2237,0
1523051080,779,0.5,7630,0
1523051058,0,0.5,697,0
1523051058,20,0.5,198,0
1523051080,779,0.5,7630,0
1523051048,1,0.5,475660,1
1523051096,134,0.5,132,0
1523051095,488,0.5,0,0
1523051066,0,0.5,188,0
1523051074,489,0.5,1,0
1523051053,0,0.5,905,0
1523051074,8,0.5,435,0
1523051072,4,0.5,425,0
1523051083,0,0.5,1028,0
1523051048,1,0.5,475660,1
1523051074,3,0.5,1701,0
1523051066,0,0.5,188,0
1523051085,3,0.5,78,0
1523051082,0,0.5,0,0
1523051077,229,0.5,2636,0
1523051094,346,0.5,4216,0
1523051061,806,0.5,0,0
1523051053,0,0.5,905,0
1523051071,0,0.5,218,0
1523051067,1,0.5,57395,0
1523051078,0,0.5,31482,0
1523051077,256,0.5,14980,0
1523051077,230,0.5,2636,0
1523051078,0,0.5,31482,0
1523051074,3,0.5,0,0
1523051044,5,0.5,960,0
1523051074,8,0.5,435,0
1523051074,3,0.5,1701,0
1523051059,91,0.5,1131,0
1523051087,263,0.5,10,0
1523051095,3,0.5,5319,0
1523051069,861,0.5,3119,0
1523051045,0,0.5,472,0
1523051087,1,0.5,1561,0
1523051074,1990,0.5,123,0
1523051067,0,0.5,4229,0
1523051047,34,0.5,4940,0
1523051074,3425,0.5,322,0
1523051084,214,0.5,166,0
1523051040,4874,0.5,14,0
1523051072,4,0.5,425,0
1523051082,0,0.5,0,0
1523051067,2,0.5,57395,0
1523051071,0,0.5,218,0
1523051080,779,0.5,7630,0
1523051041,2636,0.5,273,0
1523051087,1,0.5,1561,0
1523051057,12,0.5,466,0
1523051059,0,0.5,111,0
1523051072,4,0.5,425,0
1523051058,0,0.5,697,0
1523051082,0,0.5,0,0
1523051098,489,0.5,0,0
1523051097,0,0.5,2237,0
1523051096,134,0.5,132,0
1523051095,3,0.5,5319,0
1523051074,1,0.5,71,0
1523051074,1990,0.5,123,0
1523051087,1,0.5,1561,0
1523051074,8,0.5,435,0
1523051084,214,0.5,166,0
1523051084,214,0.5,166,0
1523051072,4,0.5,37,0
1523051071,0,0.5,218,0
1523051082,0,0.5,0,0
1523051080,779,0.5,7630,0
1523051078,0,0.5,31482,0
1523051074,8,0.5,435,0
1523051077,256,0.5,14980,0
1523051077,230,0.5,2636,0
1523051078,0,0.5,31482,0
1523051074,3,0.5,0,0
1523051074,3,0.5,1701,0
1523051074,1,0.5,71,0
1523051074,1990,0.5,123,0
1523051065,9,0.5,270,0
1523051074,3425,0.5,322,0
1523051074,8,0.5,435,0
1523051072,4,0.5,425,0
1523051061,0,0.5,148,0
1523051045,0,0.5,472,0
1523051097,0,0.5,2237,0
1523051071,0,0.5,218,0
1523051070,0,0.5,2506,0
1523051085,3,0.5,78,0
1523051078,0,0.5,31482,0
1523051087,1,0.5,1561,0
1523051070,0,0.5,2506,0
1523051067,0,0.5,4229,0
1523051067,2,0.5,57395,0
1523051066,559,0.5,4366,0
1523051066,0,0.5,188,0
1523051077,229,0.5,2636,0
1523051066,0,0.5,11359,0
1523051066,0,0.5,9661,0
1523051065,44,0.5,635,0
1523051063,1246,0.5,590,0
1523051062,0,0.5,1021,0
1523051059,0,0.5,111,0
1523051059,0,0.5,111,0
1523051044,4,0.5,23,0
1523051077,229,0.5,2636,0
1523051074,3,0.5,0,0
1523051095,486,0.5,0,0
1523051080,779,0.5,7630,0
1523051082,4874,0.5,4199,0
1523051066,0,0.5,11359,0
1523051098,486,0.5,0,0
1523051048,1,0.5,475660,1
1523051066,0,0.5,188,0
1523051087,263,0.5,10,0
1523051082,4875,0.5,4199,0
1523051074,3425,0.5,322,0
1523051074,3,0.5,1701,0
1523051074,1,0.5,71,0
1523051057,12,0.5,466,0
1523051043,4,0.5,221,0
1523051059,256,0.5,685,0
1523051087,1,0.5,1561,0
1523051059,256,0.5,685,0
1523051077,256,0.5,14980,0
1523051043,4,0.5,221,0
1523051084,214,0.5,166,0
1523051043,4,0.5,221,0
1523051077,256,0.5,14980,0
1523051077,256,0.5,14980,0
1523051084,214,0.5,166,0
1523051048,1,0.5,222,0
1523051074,8,0.5,435,0
1523051047,9,0.5,867,0
1523051074,3,0.5,1701,0
1523051074,1,0.5,71,0
1523051074,1990,0.5,123,0
1523051084,214,0.5,166,0
1523051045,0,0.5,433,0
1523051074,486,0.5,1,0
1523051074,3425,0.5,322,0
1523051074,8,0.5,435,0
1523051072,4,0.5,425,0
1523051072,4,0.5,37,0
1523051074,3,0.5,0,0
1523051070,0,0.5,2506,0
1523051070,0,0.5,2506,0
1523051069,861,0.5,3119,0
1523051059,91,0.5,1131,0
1523051067,0,0.5,4229,0
1523051067,1,0.5,57395,0
1523051066,559,0.5,4366,0
1523051048,1,0.5,475660,1
1523051066,0,0.5,188,0
1523051066,0,0.5,11359,0
1523051066,0,0.5,9661,0
1523051050,1690,0.5,653,0
1523051065,9,0.5,270,0
1523051065,44,0.5,635,0
1523051063,1246,0.5,590,0
1523051061,0,0.5,148,0
1523051061,806,0.5,0,0
1523051059,0,0.5,111,0
1523051059,91,0.5,1131,0
1523051059,256,0.5,685,0
1523051045,0,0.5,472,0
1523051042,0,0.5,2015,0
1523051072,4,0.5,425,0
1523051041,39,0.5,7630,0
1523051040,4875,0.5,14,0
1523051077,256,0.5,14980,0
1523051097,1508,0.5,0,0
1523051043,4,0.5,221,0
1523051097,1508,0.5,0,0
1523051085,3,0.5,78,0
1523051097,0,0.5,3246,0
1523051067,1,0.5,57395,0
1523051061,806,0.5,0,0
1523051082,4875,0.5,4199,0
1523051097,0,0.5,2237,0
1523051097,0,0.5,3246,0
1523051097,1508,0.5,0,0
1523051061,0,0.5,148,0
1523051083,0,0.5,1028,0
1523051098,486,0.5,0,0
1523051072,4,0.5,37,0
1523051095,3,0.5,5319,0
1523051070,0,0.5,2506,0
1523051077,256,0.5,14980,0
1523051078,0,0.5,31482,0
1523051096,134,0.5,132,0
1523051095,489,0.5,0,0
1523051078,0,0.5,31482,0
1523051066,0,0.5,188,0
1523051094,346,0.5,4216,0
1523051074,3,0.5,1701,0
1523051082,4875,0.5,4199,0
1523051095,3,0.5,5319,0
1523051097,0,0.5,3246,0
1523051087,263,0.5,10,0
1523051087,1,0.5,1561,0
1523051059,0,0.5,111,0
1523051097,0,0.5,2237,0
1523051096,134,0.5,132,0
1523051074,8,0.5,435,0
1523051082,4875,0.5,4199,0
1523051082,0,0.5,0,0
1523051097,0,0.5,2237,0
1523051083,0,0.5,1028,0
1523051095,486,0.5,0,0
1523051082,4875,0.5,4199,0
1523051043,484,0.5,1,0
1523051083,0,0.5,1028,0
1523051071,0,0.5,218,0
1523051082,4875,0.5,4199,0
1523051097,0,0.5,2237,0
1523051050,1690,0.5,653,0
1523051057,12,0.5,466,0
1523051044,0,0.5,2494,0
1523051082,0,0.5,0,0
1523051096,134,0.5,132,0
1523051069,861,0.5,3119,0
1523051061,806,0.5,0,0
1523051048,1,0.5,475660,1
1523051074,1,0.5,71,0
1523051041,35,0.5,7630,0
1523051053,0,0.5,905,0
1523051047,9,0.5,867,0
1523051098,488,0.5,0,0
1523051078,0,0.5,31482,0
1523051070,0,0.5,2506,0
1523051044,0,0.5,2494,0
1523051098,489,0.5,0,0
1523051077,229,0.5,2636,0
1523051082,0,0.5,0,0
1523051083,0,0.5,1028,0
1523051058,0,0.5,697,0
1523051087,263,0.5,10,0
1523051085,3,0.5,78,0
1523051077,230,0.5,2636,0
1523051083,0,0.5,1028,0
1523051041,2636,0.5,273,0
1523051047,34,0.5,4940,0
1523051097,0,0.5,3246,0
1523051066,0,0.5,11359,0
1523051097,0,0.5,2237,0
1523051070,0,0.5,2506,0
1523051074,485,0.5,1,0
1523051045,0,0.5,472,0
1523051077,256,0.5,14980,0
1523051080,779,0.5,7630,0
1523051066,0,0.5,9661,0
1523051082,4875,0.5,4199,0
1523051078,0,0.5,31482,0
1523051095,489,0.5,0,0
1523051050,3,0.5,221,0
1523051063,1246,0.5,590,0
1523051071,0,0.5,218,0
1523051097,0,0.5,2237,0
1523051069,861,0.5,3119,0
1523051045,0,0.5,433,0
1523051085,3,0.5,78,0
1523051067,0,0.5,4229,0
1523051087,1,0.5,1561,0
1523051077,256,0.5,14980,0
1523051061,0,0.5,148,0
1523051059,91,0.5,1131,0
1523051074,1,0.5,71,0
1523051065,44,0.5,635,0
1523051070,0,0.5,2506,0
1523051082,4874,0.5,4199,0
1523051097,0,0.5,3246,0
1523051097,0,0.5,2237,0
1523051083,0,0.5,1028,0
1523051061,0,0.5,148,0
1523051095,3,0.5,5319,0
1523051096,134,0.5,132,0
1523051066,0,0.5,188,0
1523051069,861,0.5,3119,0
1523051095,3,0.5,5319,0
1523051053,0,0.5,905,0
1523051095,489,0.5,0,0
1523051087,263,0.5,10,0
1523051094,346,0.5,4216,0
1523051059,256,0.5,685,0
1523051077,230,0.5,2636,0
1523051095,3,0.5,5319,0
1523051077,229,0.5,2636,0
1523051058,774,0.5,4366,0
1523051087,263,0.5,10,0
1523051077,230,0.5,2636,0
1523051095,3,0.5,5319,0
1523051070,0,0.5,2506,0
1523051084,214,0.5,166,0
1523051083,0,0.5,1028,0
1523051074,3,0.5,1701,0
1523051085,3,0.5,78,0
1523051074,3,0.5,0,0
1523051082,4874,0.5,4199,0
1523051074,3,0.5,0,0
1523051094,346,0.5,4216,0
1523051058,774,0.5,4366,0
1523051082,0,0.5,0,0
1523051095,486,0.5,0,0
1523051095,486,0.5,0,0
1523051095,489,0.5,0,0
1523051096,134,0.5,132,0
1523051095,486,0.5,0,0
1523051084,214,0.5,166,0
1523051082,0,0.5,0,0
1523051098,486,0.5,0,0
1523051074,3,0.5,1701,0
1523051074,3,0.5,1701,0
1523051083,0,0.5,1028,0
1523051062,0,0.5,1021,0
1523051074,3,0.5,0,0
1523051087,1,0.5,1561,0
1523051058,20,0.5,198,0
1523051074,1,0.5,71,0
1523051082,4875,0.5,4199,0
1523051078,0,0.5,31482,0
1523051087,1,0.5,1561,0
1523051048,1,0.5,475660,1
1523051084,214,0.5,166,0
1523051074,1,0.5,71,0
1523051050,1690,0.5,653,0
1523051072,4,0.5,37,0
1523051072,4,0.5,425,0
1523051082,4875,0.5,4199,0
1523051063,1246,0.5,590,0
1523051080,779,0.5,7630,0
1523051074,3,0.5,0,0
1523051074,1990,0.5,123,0
1523051082,0,0.5,0,0
1523051095,488,0.5,0,0
1523051065,9,0.5,270,0
1523051077,256,0.5,14980,0
1523051094,346,0.5,4216,0
1523051061,806,0.5,0,0
1523051078,0,0.5,31482,0
1523051074,1990,0.5,123,0
1523051063,1246,0.5,590,0
1523051085,3,0.5,78,0
1523051077,230,0.5,2636,0
1523051094,346,0.5,4216,0
1523051085,3,0.5,78,0
1523051084,214,0.5,166,0
1523051072,4,0.5,425,0
1523051077,230,0.5,2636,0
1523051083,0,0.5,1028,0
1523051084,214,0.5,166,0
1523051074,486,0.5,1,0
